Location,Shot_Number,Period,Game_Clock,Shot_Clock,Dribbles,Touch_Time,Shot_Dist,Pts_Type,Shot_Result,Player_Name
A,1,1,7:28:00 AM,2.6,5,4.5,21.1,2,made,kobe bryant
A,2,1,5:53:00 AM,5.1,7,12.1,19.6,2,missed,kobe bryant
A,3,1,3:16:00 AM,11.9,3,5.2,24.8,3,missed,kobe bryant
A,4,2,4:56:00 AM,5.9,3,9.6,12.2,2,made,kobe bryant
A,5,2,2:49:00 AM,15,0,6.7,26.4,3,missed,kobe bryant
A,6,3,9:54:00 AM,10.5,13,11.5,14.5,2,missed,kobe bryant
A,7,3,9:26:00 AM,21.5,2,2.5,24.5,3,missed,kobe bryant
A,8,3,7:15:00 AM,17.2,0,0.8,18.2,2,made,kobe bryant
A,9,3,5:39:00 AM,21.4,0,1.8,24.5,3,made,kobe bryant
A,10,3,5:08:00 AM,12.4,0,3.6,20.2,2,missed,kobe bryant
A,11,3,4:16:00 AM,7.3,3,8.2,3.1,2,made,kobe bryant
A,12,3,3:52:00 AM,19.7,3,3,24.5,3,missed,kobe bryant
A,13,4,4:44:00 AM,7,2,5.2,12.6,2,made,kobe bryant
A,14,4,4:04:00 AM,14.9,11,9.7,9.9,2,missed,kobe bryant
H,1,1,11:30:00 AM,11.2,0,1.4,26.8,3,missed,kobe bryant
H,2,1,9:32:00 AM,9.5,1,2.2,21.5,2,made,kobe bryant
H,3,1,3:06:00 AM,17.8,6,5.5,24.3,2,made,kobe bryant
H,4,1,1:17:00 AM,12.3,9,8.6,24.9,3,made,kobe bryant
H,5,2,2:35:00 AM,16,1,3.8,4.8,2,missed,kobe bryant
H,6,2,2:23:00 AM,20.2,0,0.7,2.7,2,made,kobe bryant
H,7,2,1:55:00 AM,12,4,5,10.7,2,missed,kobe bryant
H,8,2,12:26:00 AM,14.2,13,9.9,24.5,3,made,kobe bryant
H,9,3,11:38:00 AM,2.2,0,1.6,25.8,3,missed,kobe bryant
H,10,3,8:43:00 AM,13,12,10.5,14.2,2,missed,kobe bryant
H,11,3,2:44:00 AM,7.3,9,12.9,15.8,2,missed,kobe bryant
H,12,4,3:51:00 AM,13.5,12,9.7,3.4,2,made,kobe bryant
H,13,4,1:55:00 AM,7.7,5,5.7,25.8,3,made,kobe bryant
H,14,4,12:21:00 AM,,0,0.3,22.5,3,missed,kobe bryant
H,1,1,11:23:00 AM,5.2,0,1.2,22.1,2,missed,kobe bryant
H,2,1,8:03:00 AM,18.7,0,1,20.4,2,missed,kobe bryant
H,3,1,4:25:00 AM,13.3,10,11.4,18.8,2,made,kobe bryant
H,4,1,3:52:00 AM,16.5,7,7.6,24.4,3,missed,kobe bryant
H,5,1,2:58:00 AM,6,0,3.7,24.8,3,missed,kobe bryant
H,6,2,4:45:00 AM,16.5,8,7,16.2,2,missed,kobe bryant
H,7,2,2:34:00 AM,18.5,7,5.8,25.2,3,missed,kobe bryant
H,8,2,1:55:00 AM,7.2,12,15.5,11.8,2,missed,kobe bryant
H,9,2,12:01:00 AM,,3,3.2,19.3,2,missed,kobe bryant
H,10,3,6:37:00 AM,19.8,1,2.3,25.5,3,missed,kobe bryant
H,11,4,4:54:00 AM,7.9,13,9.4,19,2,missed,kobe bryant
H,12,4,3:17:00 AM,18,8,6.3,19.3,2,missed,kobe bryant
H,13,4,2:48:00 AM,17.6,4,5.8,25.3,3,made,kobe bryant
H,14,4,2:11:00 AM,15,9,8.2,25.5,3,missed,kobe bryant
H,15,4,1:31:00 AM,10.9,16,12.9,4.7,2,missed,kobe bryant
H,16,4,1:01:00 AM,10,13,12.6,13.9,2,missed,kobe bryant
H,17,4,12:55:00 AM,22.4,0,0.9,26.4,3,missed,kobe bryant
H,18,4,12:33:00 AM,23.3,0,0.8,24.1,3,made,kobe bryant
H,19,4,12:04:00 AM,,4,5.1,27.5,3,missed,kobe bryant
A,1,1,11:12:00 AM,15,0,0.7,25.4,3,missed,kobe bryant
A,2,2,5:20:00 AM,11.1,11,12.7,23.7,2,missed,kobe bryant
A,3,2,3:14:00 AM,10.7,0,0,3.4,2,missed,kobe bryant
A,4,2,2:44:00 AM,12.7,3,6.7,3.4,2,missed,kobe bryant
A,5,3,10:16:00 AM,15.3,0,0.7,21.9,2,missed,kobe bryant
A,6,3,9:04:00 AM,19,1,1.7,25.6,3,missed,kobe bryant
A,7,3,8:40:00 AM,7.6,4,5,13.4,2,missed,kobe bryant
A,8,3,6:43:00 AM,11.1,13,14,17.5,2,missed,kobe bryant
A,9,3,5:51:00 AM,15.9,9,7.9,10.8,2,made,kobe bryant
A,10,3,5:04:00 AM,4.2,1,2.3,27.3,3,missed,kobe bryant
A,11,3,3:50:00 AM,11.5,3,5.2,14.7,2,made,kobe bryant
A,12,3,3:18:00 AM,15.7,1,3.2,17.5,2,missed,kobe bryant
H,1,1,10:04:00 AM,18.7,6,5.4,24.3,2,made,kobe bryant
H,2,1,9:06:00 AM,17.9,6,6.4,25.1,3,made,kobe bryant
H,3,1,8:03:00 AM,2.7,5,6,7.6,2,made,kobe bryant
H,4,1,5:41:00 AM,15.9,7,7.6,14.5,2,missed,kobe bryant
H,5,1,3:38:00 AM,12.4,0,0.8,2.3,2,made,kobe bryant
H,6,1,2:57:00 AM,5.3,2,4.7,21.7,2,missed,kobe bryant
H,7,2,12:52:00 AM,16,0,1.3,22.9,3,missed,kobe bryant
H,8,3,11:44:00 AM,7.2,7,8.2,9,2,missed,kobe bryant
H,9,3,10:19:00 AM,6,5,7.4,11.2,2,made,kobe bryant
H,10,3,4:43:00 AM,13.6,3,2.8,18.8,2,missed,kobe bryant
H,11,4,3:32:00 AM,3.5,3,5.3,17,2,missed,kobe bryant
H,12,4,2:02:00 AM,8,16,15.8,23.1,3,made,kobe bryant
H,13,4,12:53:00 AM,15.6,11,8,7.4,2,missed,kobe bryant
H,14,4,12:13:00 AM,11.1,11,9.4,7.9,2,made,kobe bryant
H,1,1,8:02:00 AM,,0,1.4,20.6,2,missed,kobe bryant
H,2,2,4:37:00 AM,,0,3.5,20.1,2,made,kobe bryant
H,3,2,2:33:00 AM,,5,5,22.3,2,missed,kobe bryant
H,4,2,2:03:00 AM,,8,10.8,3.1,2,made,kobe bryant
H,5,3,10:38:00 AM,4,3,3.3,19,2,missed,kobe bryant
H,6,3,10:11:00 AM,14.1,0,0.8,24.4,3,made,kobe bryant
H,7,3,9:43:00 AM,12.5,2,3.4,22.8,2,made,kobe bryant
H,8,3,8:37:00 AM,13.4,0,1.1,25.4,3,missed,kobe bryant
H,9,3,6:27:00 AM,10.4,10,14,19.3,2,missed,kobe bryant
H,10,3,3:33:00 AM,9.9,0,1.1,2.6,2,missed,kobe bryant
H,11,3,2:36:00 AM,4.1,4,8.2,3.9,2,made,kobe bryant
H,12,4,1:49:00 AM,4.3,11,11.4,15.9,2,missed,kobe bryant
H,13,4,12:26:00 AM,8,3,6.5,25.7,3,made,kobe bryant
H,14,4,12:00:00 AM,,0,0.5,27.2,3,missed,kobe bryant
